INTV_QRT,INTV_MON,ACPTCHLD,REJ_PER,REJ_FAM,ACPT_PER,ACPT_FAM,NON_INTV,RECTYPE,SRVY_YR,LIVQRT_P,HHX,REGION,WTIA_HH,WTFA_HH,PSTRAT,PPSU
1,1,0,0,0,2,1,,10,2018,1,000075,3,2451.5,3206,106,1
1,3,3,0,0,5,1,,10,2018,1,000076,4,2484.1,2898,108,2
1,2,0,0,0,2,1,,10,2018,1,000077,4,2552.6,3454,138,3
1,2,0,0,0,1,1,,10,2018,1,000078,1,2180.1,4282,101,60
1,3,0,0,0,2,1,,10,2018,1,000079,3,2401.5,3259,121,8
1,2,0,0,0,1,1,,10,2018,1,000081,2,2377.7,4977,133,4
1,3,0,0,0,3,1,,10,2018,1,000082,2,2394.1,3078,127,31
1,3,,,,,,1,10,2018,1,000083,3,2444.1,0,106,61
1,2,,,,,,2,10,2018,1,000085,1,2314.1,0,124,1
1,2,0,0,0,2,2,,10,2018,1,000087,4,2666.5,3733,108,92
1,2,0,0,0,1,1,,10,2018,1,000089,3,2371.4,3495,102,41
1,1,0,0,0,2,2,,10,2018,1,000091,3,701.4,980,120,5
1,3,2,0,0,4,1,,10,2018,1,000092,2,2689.2,3204,117,25
1,2,0,0,0,1,1,,10,2018,1,000093,2,2259.9,3955,118,10
1,2,,,,,,1,10,2018,1,000094,1,2314.1,0,124,3
1,3,,,,,,1,10,2018,1,000095,2,2305.5,0,131,33
1,1,4,0,0,6,1,,10,2018,1,000097,1,2685.5,4338,116,18
1,3,1,0,0,2,1,,10,2018,1,000099,4,2189.2,4378,111,47
1,3,3,0,0,5,1,,10,2018,1,000100,3,2401.7,3603,121,5
1,3,0,0,0,2,1,,10,2018,1,000102,4,2610.2,4760,143,35
1,1,0,0,0,2,1,,10,2018,1,000103,3,2508.4,3031,106,61
1,3,1,0,0,3,1,,10,2018,1,000104,3,2631.5,3251,149,18
1,1,1,0,0,3,1,,10,2018,1,000105,2,2376.8,3002,147,49
1,2,0,0,0,2,1,,10,2018,1,000106,2,2393.1,3401,131,20
1,2,0,0,0,2,1,,10,2018,1,000107,3,2401.5,4083,139,8
1,1,0,0,0,1,1,,10,2018,1,000108,1,2431,4688,148,3
1,2,,,,,,5,10,2018,1,000109,2,2701.6,0,118,16
1,1,,,,,,1,10,2018,1,000110,3,2398.1,0,149,55
1,2,0,0,0,1,1,,10,2018,1,000111,3,2574.3,3571,135,21
1,3,0,0,0,1,1,,10,2018,1,000112,4,2748.6,4123,123,22
1,3,0,0,0,3,1,,10,2018,1,000113,1,2133,3377,105,48
1,1,0,0,0,2,1,,10,2018,1,000114,3,2433.8,4646,106,3
1,3,0,0,0,2,1,,10,2018,1,000115,3,2508.4,3031,106,61
1,2,0,0,0,2,1,,10,2018,1,000118,4,2552.6,3829,138,1
1,3,5,0,0,7,1,,10,2018,1,000119,3,2621.6,4981,139,24
1,2,0,0,0,2,1,,10,2018,1,000120,3,2432.7,3128,136,9
1,1,,,,,,5,10,2018,1,000121,4,2809.4,0,138,57
1,3,,,,,,5,10,2018,1,000122,2,2418.2,0,109,38
1,3,,,,,,1,10,2018,1,000123,2,2402,0,107,32
1,3,2,0,0,5,1,,10,2018,1,000124,3,2584.9,3031,150,22
1,1,3,0,0,6,1,,10,2018,1,000125,3,2584.9,3554,135,24
1,1,0,0,0,2,1,,10,2018,1,000126,2,2325.9,3147,146,20
1,1,3,0,0,5,1,,10,2018,1,000127,2,2312.7,5046,117,36
1,2,2,0,0,4,1,,10,2018,1,000128,1,2207.3,3311,112,1
1,1,0,0,0,2,1,,10,2018,1,000129,4,2755.7,4822,111,36
1,1,,,,,,1,10,2018,1,000130,3,2621.6,0,136,26
1,1,0,0,0,1,1,,10,2018,1,000131,2,2377.7,3484,133,1
1,1,1,0,0,3,1,,10,2018,1,000132,1,2391.4,2895,110,66
1,1,,,,,,5,10,2018,1,000133,1,2406.6,0,105,60
1,1,,,,,,1,10,2018,1,000134,4,2792.2,0,113,3
1,3,0,0,0,1,1,,10,2018,1,000136,3,2367,3156,104,10
1,2,,,,,,1,10,2018,1,000137,3,2401.5,0,139,8
1,1,0,0,0,5,1,,10,2018,1,000138,4,2792.2,3457,113,9
1,3,,,,,,5,10,2018,1,000139,1,2406.6,0,140,62
1,1,0,0,0,3,1,,10,2018,1,000141,4,2792.2,4115,119,10
1,2,0,0,0,2,1,,10,2018,1,000142,3,2584.9,3193,130,24
1,3,0,0,0,1,1,,10,2018,1,000143,3,2781.4,5563,144,8
1,1,,,,,,2,10,2018,1,000144,2,2347.5,0,133,33
1,3,,,,,,1,10,2018,1,000145,3,2276.2,0,136,53
1,1,,,,,,1,10,2018,1,000146,2,2298.7,0,118,26
1,2,0,0,0,2,1,,10,2018,1,000147,3,2357.1,3771,132,9
1,2,,,,,,1,10,2018,1,000148,2,2402,0,107,32
1,3,,,,,,1,10,2018,1,000150,2,2312.7,0,117,36
1,1,2,0,0,4,1,,10,2018,1,000151,4,2792.2,3527,129,8
1,1,,,,,,5,10,2018,5,000152,2,2704.5,0,147,2
1,2,,,,,,1,10,2018,1,000153,3,2418.2,0,115,24
1,1,2,0,0,4,1,,10,2018,5,000154,3,2201.5,2348,149,29
1,2,1,0,0,3,1,,10,2018,1,000156,1,2431,4862,101,3
1,3,1,0,0,5,1,,10,2018,1,000157,3,2572.9,5905,115,22
1,1,0,0,0,2,1,,10,2018,1,000158,2,2408.8,7227,118,9
1,3,,,,,,5,10,2018,1,000159,3,2574.3,0,150,21
1,3,,,,,,2,10,2018,1,000160,4,2641.6,0,111,10
1,2,,,,,,1,10,2018,1,000161,4,2242.7,0,151,51
1,3,1,0,0,5,1,,10,2018,1,000162,2,2313.4,3547,127,26
1,1,,,,,,1,10,2018,5,000163,3,2381.1,0,126,4
1,3,,,,,,1,10,2018,1,000164,1,2277.9,0,105,2
1,1,1,0,0,4,1,,10,2018,5,000166,3,2681.3,3064,106,35
1,2,,,,,,1,10,2018,1,000167,3,2572.9,0,115,22
1,3,0,0,0,3,1,,10,2018,1,000168,3,2506,3007,144,27
1,1,0,0,0,2,1,,10,2018,1,000169,3,2432.7,4217,120,10
1,3,1,0,0,4,1,,10,2018,1,000171,2,2454.7,3321,107,78
1,3,,,,,,1,10,2018,1,000172,4,2875.3,0,129,45
1,3,,,,,,1,10,2018,1,000174,1,2180.1,0,124,64
1,1,,,,,,1,10,2018,1,000175,4,1206.1,0,123,16
1,3,0,0,0,3,1,,10,2018,1,000177,4,2792.2,4115,119,10
1,2,0,0,0,3,1,,10,2018,1,000178,3,2530.6,3275,126,2
1,3,0,0,0,2,1,,10,2018,1,000179,3,2357.1,2977,104,9
1,2,,,,,,5,10,2018,1,000180,2,2402,0,107,31
1,2,0,0,0,1,1,,10,2018,1,000181,2,2409.7,5696,109,15
1,2,0,0,0,1,1,,10,2018,1,000182,2,2325.1,2748,118,31
1,1,,,,,,1,10,2018,1,000183,2,2689.2,0,117,24
1,2,0,0,0,2,1,,10,2018,1,000184,3,2401.5,3259,121,8
1,3,,,,,,1,10,2018,1,000185,3,2401.7,0,121,5
1,3,0,0,0,1,1,,10,2018,1,000186,4,2483.6,4967,100,92
1,1,0,0,0,2,1,,10,2018,1,000187,3,2388.3,3658,139,19
1,3,,,,,,1,10,2018,1,000188,1,2684.7,0,101,102
1,2,0,0,0,1,1,,10,2018,1,000189,3,3113.6,4497,126,34
1,2,0,0,0,2,1,,10,2018,1,000190,1,2180.1,4343,124,64
1,2,,,,,,1,10,2018,1,000191,3,2401.5,0,139,8
1,2,0,0,0,2,1,,10,2018,1,000192,4,2792.2,3856,129,6
1,3,0,0,0,2,1,,10,2018,1,000193,4,2533.6,3294,108,80
1,2,0,0,0,2,1,,10,2018,1,000194,4,2552.6,3454,138,3
1,1,0,0,0,2,1,,10,2018,1,000195,3,2369.8,3686,135,11
1,1,0,0,0,2,1,,10,2018,1,000196,1,2229.5,4273,140,1
1,2,,,,,,2,10,2018,1,000199,2,2527,0,118,2
1,1,,,,,,1,10,2018,1,000200,1,1643.3,0,128,10
1,2,0,0,0,2,1,,10,2018,1,000203,1,2180.1,4550,124,67
1,1,2,0,0,4,1,,10,2018,1,000204,3,2195.5,3156,144,50
1,1,0,0,0,1,1,,10,2018,1,000205,3,2418.2,2858,115,21
1,1,0,0,0,2,1,,10,2018,1,000206,3,2261.7,3060,144,7
1,2,0,0,0,3,1,,10,2018,1,000207,2,1068.1,1602,147,75
1,1,1,0,0,3,1,,10,2018,1,000208,4,2544.5,3029,100,4
1,2,0,0,0,1,1,,10,2018,1,000209,2,2454.7,4532,107,74
1,3,1,0,0,3,1,,10,2018,1,000212,3,2532.1,5486,102,42
1,1,,,,,,1,10,2018,1,000214,4,2792.2,0,119,10
1,2,2,0,0,4,1,,10,2018,1,000215,4,2850,5878,111,12
1,1,0,0,0,2,1,,10,2018,1,000216,3,2501.1,3271,122,45
1,2,2,0,0,4,1,,10,2018,1,000217,2,2298.7,3576,118,26
1,2,,,,,,1,10,2018,1,000218,4,2640.4,0,113,5
1,3,1,0,0,4,2,,10,2018,1,000219,2,2454.7,3321,107,78
1,3,,,,,,5,10,2018,1,000220,3,2508.4,0,106,61
1,2,,,,,,1,10,2018,1,000221,2,2668.3,0,146,14
1,3,2,0,0,4,1,,10,2018,1,000222,4,2778.4,3020,113,8
1,3,,,,,,1,10,2018,1,000223,1,2431,0,148,3
1,2,,,,,,1,10,2018,1,000224,3,2462.7,0,103,46
1,3,,,,,,2,10,2018,1,000225,1,2728.1,0,125,18
1,2,,,,,,1,10,2018,1,000226,4,2850,0,111,12
1,2,0,0,0,2,1,,10,2018,5,000227,3,2426.5,4853,149,1
1,2,,,,,,1,10,2018,1,000228,3,2621.6,0,139,24
1,2,0,0,0,1,1,,10,2018,1,000229,3,2405.4,3875,115,10
1,2,,,,,,1,10,2018,1,000230,3,2313.9,0,122,14
1,2,0,0,0,2,1,,10,2018,1,000231,4,2809.4,3549,138,57
1,1,0,0,0,1,1,,10,2018,1,000233,4,2778.4,3410,129,4
1,1,0,0,0,1,1,,10,2018,1,000234,3,2681.3,3064,106,35
1,2,0,0,0,1,1,,10,2018,1,000235,3,2169.6,3797,144,48
1,3,0,0,0,1,1,,10,2018,1,000236,4,2792.2,3527,129,8
1,2,1,0,0,3,1,,10,2018,1,000237,1,2180.1,4550,110,64
1,3,2,0,0,5,1,,10,2018,1,000238,3,2371.4,3495,102,41
1,2,0,0,0,1,1,,10,2018,1,000239,3,2276.2,4047,120,53
1,2,,,,,,5,10,2018,1,000240,3,2588.9,0,102,1
1,3,,,,,,1,10,2018,1,000241,3,2584.9,0,135,25
1,3,,,,,,1,10,2018,1,000242,1,2180.1,0,110,63
1,3,0,1,1,1,1,,10,2018,1,000244,1,2406.6,3833,140,62
1,3,1,0,0,3,1,,10,2018,1,000245,3,2649.8,5564,130,1
1,3,3,0,0,5,1,,10,2018,1,000246,4,2770,4100,151,7
1,2,,,,,,1,10,2018,1,000247,2,2310.9,0,146,28
1,2,0,0,0,1,1,,10,2018,1,000248,4,2819.1,4135,119,7
1,2,,,,,,2,10,2018,1,000249,4,601.6,0,114,99
1,3,1,0,0,4,1,,10,2018,1,000250,3,2461.8,4924,106,14
1,3,0,0,0,1,1,,10,2018,1,000252,3,2371.4,3495,102,41
1,2,,,,,,5,10,2018,1,000253,2,2312.7,0,117,36
1,2,0,0,0,1,1,,10,2018,1,000255,2,2454.7,3321,107,78
1,1,5,0,0,7,1,,10,2018,1,000256,3,975.7,1220,120,1
1,3,,,,,,1,10,2018,1,000257,1,1087.1,0,140,153
1,1,,,,,,1,10,2018,1,000258,3,2445.1,0,142,5
1,3,1,0,0,3,1,,10,2018,1,000260,1,2180.1,3900,148,62
1,1,0,0,0,1,1,,10,2018,1,000261,1,2675,3741,101,100
1,2,0,0,0,3,1,,10,2018,1,000262,4,2786.2,3302,108,91
1,1,,,,,,1,10,2018,1,000264,3,2557.8,0,103,34
1,3,0,0,0,3,1,,10,2018,1,000265,3,2574.3,4107,150,21
1,2,0,0,0,2,1,,10,2018,1,000266,4,2242.7,3240,119,52
1,1,0,1,1,2,1,,10,2018,1,000267,3,2388.3,3658,139,19
1,3,1,0,0,2,1,,10,2018,1,000268,1,2180.1,3791,110,60
1,1,,,,,,1,10,2018,1,000269,3,2574.3,0,141,22
1,1,2,0,0,4,1,,10,2018,1,000270,4,2778.4,3656,129,2
1,1,0,0,0,2,1,,10,2018,1,000271,2,2305.5,4295,117,34
1,2,0,0,0,2,1,,10,2018,1,000272,3,2401.5,4083,139,8
1,1,0,0,0,2,1,,10,2018,1,000273,1,2406.6,4103,140,64
1,1,0,0,0,4,1,,10,2018,1,000274,2,2402,3453,107,35
1,2,2,0,0,4,1,,10,2018,1,000275,4,2792.2,3071,113,3
1,1,,,,,,1,10,2018,1,000276,1,2180.1,0,148,61
1,2,2,0,0,4,1,,10,2018,1,000278,3,2584.9,3193,130,24
1,2,,,,,,1,10,2018,1,000279,4,2655.7,0,129,7
1,3,0,0,0,2,1,,10,2018,5,000280,4,2216.9,2882,143,44
1,1,,,,,,1,10,2018,1,000281,2,2434,0,146,1
1,1,,,,,,1,10,2018,1,000282,4,1935.9,0,108,39
1,1,2,0,0,4,1,,10,2018,1,000283,3,2621.6,3386,121,26
1,3,1,0,0,2,1,,10,2018,1,000284,3,2357.1,3989,121,6
1,3,,,,,,5,10,2018,1,000285,1,2685.5,0,125,19
1,1,,,,,,5,10,2018,1,000286,2,2409.7,0,109,15
1,2,0,0,0,4,1,,10,2018,1,000288,4,2797,4795,119,9
1,3,3,0,0,5,1,,10,2018,1,000289,4,1160.6,1741,114,42
1,2,0,0,0,2,1,,10,2018,1,000290,2,2539.4,3386,147,37
1,3,0,0,0,1,1,,10,2018,1,000291,3,2508.9,3136,122,46
1,2,,,,,,1,10,2018,1,000292,3,2584.9,0,150,22
1,1,0,0,0,2,1,,10,2018,1,000293,3,2398.1,4636,149,57
1,2,0,0,0,1,1,,10,2018,1,000294,4,601.6,991,108,114
1,2,,,,,,1,10,2018,1,000295,1,2405.9,0,148,63
1,2,0,0,0,2,1,,10,2018,1,000298,3,2649.8,5564,130,1
1,1,0,0,0,2,1,,10,2018,1,000299,3,2273.9,3210,136,54
1,2,0,0,0,1,1,,10,2018,5,000300,4,601.6,1203,114,99
1,2,0,0,0,2,1,,10,2018,1,000301,4,2552.6,3829,138,1
1,1,2,1,1,3,1,,10,2018,1,000302,3,2405.4,3886,115,11
1,3,0,0,0,1,1,,10,2018,1,000303,2,2527,6357,118,2
1,1,,,,,,1,10,2018,1,000304,1,2277.9,0,140,4
1,1,2,0,0,3,1,,10,2018,1,000305,3,2584.9,3977,141,25
1,3,,,,,,1,10,2018,1,000307,4,2823.6,0,108,22
1,2,0,0,0,2,1,,10,2018,1,000309,2,2388,5373,109,56
1,2,,,,,,1,10,2018,1,000310,4,2655.7,0,129,7
1,3,,,,,,5,10,2018,1,000311,3,2388.3,0,145,23
1,1,,,,,,2,10,2018,1,000312,1,2431,0,101,3
1,3,2,0,0,3,1,,10,2018,1,000314,2,2527,6357,118,2
1,3,3,0,0,7,1,,10,2018,1,000315,4,2865.2,3708,143,12
1,2,,,,,,5,10,2018,1,000316,2,2539.4,0,147,37
1,1,,,,,,1,10,2018,1,000317,2,2701.6,0,118,16
1,3,0,0,0,1,1,,10,2018,1,000318,1,2675,4899,101,103
1,1,,,,,,2,10,2018,1,000319,3,2273.9,0,132,53
1,1,,,,,,2,10,2018,1,000320,2,2472,0,107,1
1,3,0,0,0,1,1,,10,2018,1,000321,3,2391.3,3235,139,6
1,1,1,0,0,2,1,,10,2018,1,000322,3,2619.8,4030,141,21
1,2,3,0,0,5,1,,10,2018,1,000323,4,2655.7,4374,129,7
1,2,0,0,0,1,1,,10,2018,1,000324,2,2689.2,4166,131,24
1,2,0,0,0,3,1,,10,2018,1,000325,3,2418.2,3182,115,24
1,1,,,,,,1,10,2018,1,000326,4,2234.1,0,151,51
1,3,2,0,0,6,1,,10,2018,1,000328,3,2681.9,4358,135,23
1,2,0,0,0,2,1,,10,2018,1,000329,3,2451.5,3206,106,1
1,1,,,,,,2,10,2018,1,000330,3,2514.1,0,150,2
1,1,2,0,0,4,1,,10,2018,1,000332,3,2584.9,3490,141,27
1,2,,,,,,5,10,2018,1,000333,3,2639.1,0,102,2
1,2,3,0,0,4,1,,10,2018,1,000334,4,2552.6,4680,100,2
1,3,,,,,,1,10,2018,1,000336,2,2689.2,0,133,23
1,2,1,0,0,3,1,,10,2018,1,000337,1,2660,4655,148,102
1,1,,,,,,1,10,2018,1,000339,3,2670.1,0,126,33
1,1,0,0,0,1,1,,10,2018,1,000341,4,2549,3292,138,89
1,1,,,,,,1,10,2018,1,000342,4,1160.6,0,114,41
1,3,0,0,0,2,1,,10,2018,1,000343,2,2313.4,3547,127,26
1,3,0,0,0,2,1,,10,2018,1,000344,3,2574.3,3571,135,21
1,2,,,,,,1,10,2018,1,000345,4,2655.7,0,113,5
1,3,0,0,0,1,1,,10,2018,1,000347,3,2650.5,2972,121,27
1,3,0,0,0,6,1,,10,2018,1,000348,4,2549,3292,138,89
1,3,5,0,0,7,1,,10,2018,1,000349,2,2668.3,4609,146,13
1,2,0,0,0,2,1,,10,2018,1,000350,4,1160.6,1741,114,42
1,2,0,0,0,1,1,,10,2018,1,000351,3,2276.2,2897,136,53
1,3,0,0,0,1,1,,10,2018,1,000352,1,2229.2,6409,140,2
1,3,0,0,0,3,1,,10,2018,98,000353,3,2781.4,5563,144,8
1,3,1,0,0,3,1,,10,2018,1,000354,4,2819.1,4511,151,4
1,1,0,0,0,2,1,,10,2018,1,000355,2,2377.7,3513,137,1
1,2,0,0,0,1,1,,10,2018,1,000356,3,2432.7,4217,120,10
1,2,0,0,0,3,1,,10,2018,1,000357,2,2313.4,3547,127,26
1,2,0,0,0,2,1,,10,2018,1,000358,1,2413,3619,116,3
1,2,0,0,0,4,1,,10,2018,1,000359,2,2298.7,3576,118,26
1,3,0,0,0,1,1,,10,2018,1,000360,4,793.5,1035,143,1
1,3,,,,,,1,10,2018,1,000361,2,2843.9,0,147,1
1,2,,,,,,1,10,2018,1,000362,1,2675,0,110,103
1,1,0,0,0,1,1,,10,2018,1,000363,3,2574.3,4107,150,21
1,3,2,0,0,5,1,,10,2018,1,000364,3,2201.5,4403,149,30
1,2,0,0,0,1,1,,10,2018,1,000365,3,2255.9,3102,144,39
1,1,0,0,0,1,1,,10,2018,6,000367,4,2568.3,4623,138,127
1,2,1,0,0,3,1,,10,2018,1,000368,4,2552.6,3160,100,1
1,2,0,0,0,2,1,,10,2018,1,000369,4,2079.1,3465,114,23
1,2,,,,,,2,10,2018,1,000370,3,2432.7,0,120,9
1,1,0,0,0,2,1,,10,2018,1,000371,4,1160.6,1393,114,43
1,1,0,0,0,1,1,,10,2018,6,000372,4,825.2,855,123,1
1,3,,,,,,1,10,2018,1,000373,1,2180.1,0,148,64
1,3,0,0,0,3,1,,10,2018,1,000374,3,2445.1,3260,142,5
1,3,,,,,,5,10,2018,1,000375,3,2203.7,0,144,49
1,3,0,0,0,1,1,,10,2018,1,000377,2,2376.8,3002,147,49
1,2,,,,,,1,10,2018,1,000378,3,2681.9,0,135,23
1,2,0,0,0,2,1,,10,2018,1,000379,2,2298.7,3576,118,26
1,3,,,,,,2,10,2018,1,000381,3,2203.7,0,144,49
1,3,0,0,0,1,1,,10,2018,1,000382,1,888.8,1500,128,27
1,1,0,0,0,2,1,,10,2018,1,000383,3,2201.5,2348,149,29
1,2,2,0,0,4,1,,10,2018,1,000385,1,2314.1,5381,148,1
1,2,0,0,0,1,1,,10,2018,5,000386,3,2538.6,5077,103,20
1,2,2,0,0,4,1,,10,2018,1,000387,2,2639.9,3666,109,1
1,1,0,0,0,2,1,,10,2018,1,000388,4,2865.2,3708,143,12
1,1,,,,,,1,10,2018,1,000389,2,2311.3,0,109,37
1,3,0,0,0,1,1,,10,2018,1,000390,4,2755.7,4822,111,36
1,2,1,0,0,2,1,,10,2018,1,000392,4,2875.3,4473,129,45
1,2,,,,,,1,10,2018,1,000393,1,2695.3,0,125,17
1,3,,,,,,1,10,2018,1,000394,2,2347.5,0,137,38
1,2,0,0,0,2,1,,10,2018,1,000395,3,2401.5,3259,121,8
1,1,,,,,,2,10,2018,1,000396,2,2377.7,0,133,4
1,3,0,0,0,1,1,,10,2018,1,000397,1,2406.5,3420,140,63
1,3,,,,,,1,10,2018,1,000398,2,2402,0,107,34
1,3,0,0,0,1,1,,10,2018,1,000399,3,2401.7,3603,142,6
1,1,,,,,,1,10,2018,1,000400,3,2583.7,0,132,25
1,2,2,0,0,3,1,,10,2018,1,000401,1,1094.8,1512,140,152
1,1,0,0,0,2,1,,10,2018,1,000402,4,2242.7,3305,113,52
1,2,,,,,,1,10,2018,1,000403,3,2775.8,0,106,22
1,3,,,,,,1,10,2018,1,000404,3,2376.1,0,136,50
1,3,,,,,,2,10,2018,1,000406,4,1183.8,0,143,24
1,2,,,,,,1,10,2018,98,000407,3,2498.1,0,115,23
1,2,0,0,0,2,1,,10,2018,1,000408,1,1094.8,1512,140,152
1,2,0,0,0,1,1,,10,2018,1,000410,2,2374.6,4007,127,2
1,3,2,0,0,4,1,,10,2018,1,000411,2,2333.1,4690,137,37
1,1,,,,,,1,10,2018,1,000412,4,2591.5,0,108,61
1,3,,,,,,2,10,2018,1,000413,4,2792.2,0,129,6
1,1,0,0,0,2,1,,10,2018,1,000416,4,2792.2,3457,113,1
1,2,1,0,0,4,1,,10,2018,1,000417,3,2273.9,2924,142,54
1,3,0,0,0,2,1,,10,2018,1,000419,1,867,1647,112,35
1,2,0,0,0,3,1,,10,2018,5,000420,4,2533.6,3438,114,72
1,3,1,0,0,3,1,,10,2018,1,000421,3,2581.4,3872,144,26
1,2,0,0,0,2,1,,10,2018,1,000422,1,2180.1,3791,110,60
1,3,0,0,0,3,1,,10,2018,1,000423,2,2775.7,3123,134,14
1,2,,,,,,1,10,2018,1,000424,3,701.4,0,136,5
1,1,0,0,0,2,1,,10,2018,1,000425,3,2376.4,4753,132,49
1,1,0,0,0,1,1,,10,2018,1,000426,4,2484.1,3822,108,1
1,3,,,,,,2,10,2018,1,000427,2,2377.7,0,133,3
1,1,1,0,0,3,1,,10,2018,1,000428,3,2244.2,3815,144,10
1,1,0,0,0,1,1,,10,2018,5,000429,1,2334.2,4668,110,65
1,1,0,0,0,2,1,,10,2018,1,000432,3,2376.1,4536,145,50
1,3,,,,,,1,10,2018,6,000433,3,2336.6,0,144,1
1,2,,,,,,1,10,2018,1,000434,4,2765.6,0,129,9
1,3,0,0,0,2,1,,10,2018,1,000435,4,2827.7,5438,100,57
1,3,0,0,0,4,1,,10,2018,1,000436,3,2572.1,2786,141,24
1,3,,,,,,1,10,2018,1,000437,3,2357.1,0,104,9
1,1,,,,,,2,10,2018,1,000438,2,988.4,0,109,92
